transaction_id,goal_id
496527,172181.0
496523,172177.0
632529,2301238.0
587751,253721.0
712046,3080734.0
646230,2484498.0
632558,2301366.0
632553,2301361.0
632566,2301375.0
632530,2301239.0
632570,2301380.0
632533,2301242.0
632548,2301257.0
632535,2301244.0
632538,2301247.0
632565,2301374.0
632560,2301368.0
632545,2301254.0
632532,2301241.0
632531,2301240.0
632527,2301236.0
632552,2301360.0
635496,3073963.0
632546,2301255.0
632549,2301258.0
632541,2301250.0
632554,2301362.0
632563,2301371.0
632572,2301382.0
633071,2303314.0
632562,2301370.0
632542,2301251.0
632543,2301252.0
632536,2301245.0
632564,2301373.0
632556,2301363.0
632555,2301364.0
632547,2301256.0
632539,2301248.0
496529,172183.0
496531,172185.0
632544,2301253.0
632568,2301378.0
632534,2301243.0
632528,2301237.0
632557,2301365.0
632573,2301383.0
632561,2301369.0
598498,260248.0
470917,144758.0
598504,260254.0
598501,260251.0
598494,260244.0
598496,260246.0
598497,260247.0
667134,2876419.0
502259,179866.0
632550,2301358.0
632551,2301359.0
496520,172174.0
673951,3073755.0
673952,3073756.0
598466,259983.0
598518,260259.0
631430,2296733.0
223375,22362.0
632540,2301249.0
454219,125472.0
496493,172147.0
598490,260240.0
598503,260253.0
598502,260252.0
496512,172166.0
545401,212368.0
673954,3073758.0
440473,110903.0
598499,260249.0
598500,260250.0
632571,2301381.0
632569,2301377.0
496461,172115.0
670424,2992713.0
673694,3067454.0
673953,3073757.0
598517,260258.0
598489,260239.0
545402,212367.0
470919,144760.0
598522,260263.0
598448,259969.0
598487,260237.0
520929,200120.0
598491,260241.0
491544,164078.0
598486,259988.0
598493,260243.0
496473,172127.0
520759,200116.0
520115,199904.0
598519,260260.0
598521,260262.0
470918,144759.0
598520,260261.0
491545,164079.0
496487,172141.0
728264,
719697,
719700,
623817,
667849,
728815,
728820,
696071,
728306,
710941,
670047,
667819,
728478,
673462,
720595,
670057,
670999,
670052,
667908,
667907,
670970,
717264,
667832,
670039,
720261,
667909,
667910,
575356,
709149,
709166,
670070,
670990,
718832,
718724,
719032,
718725,
718728,
726409,
717851,
710221,
710222,
728232,
710220,
719147,
710181,
717735,
710225,
718499,
665653,
