transaction_id,goal_id
496527,172181
496523,172177
632529,2301238
587751,253721
712046,3080734
646230,2484498
632558,2301366
632553,2301361
632566,2301375
632530,2301239
632570,2301380
632533,2301242
632548,2301257
632535,2301244
632538,2301247
632565,2301374
632560,2301368
632545,2301254
632532,2301241
632531,2301240
632527,2301236
632552,2301360
635496,3073963
632546,2301255
632549,2301258
632541,2301250
632554,2301362
632563,2301371
632572,2301382
633071,2303314
632562,2301370
632542,2301251
632543,2301252
632536,2301245
632564,2301373
632556,2301363
632555,2301364
632547,2301256
632539,2301248
496529,172183
496531,172185
632544,2301253
632568,2301378
632534,2301243
632528,2301237
632557,2301365
632573,2301383
632561,2301369
598498,260248
470917,144758
598504,260254
598501,260251
598494,260244
598496,260246
598497,260247
667134,2876419
502259,179866
632550,2301358
632551,2301359
496520,172174
673951,3073755
673952,3073756
598466,259983
598518,260259
631430,2296733
223375,22362
632540,2301249
454219,125472
496493,172147
598490,260240
598503,260253
598502,260252
496512,172166
545401,212368
673954,3073758
440473,110903
598499,260249
598500,260250
632571,2301381
632569,2301377
496461,172115
670424,2992713
673694,3067454
673953,3073757
598517,260258
598489,260239
545402,212367
470919,144760
598522,260263
598448,259969
598487,260237
520929,200120
598491,260241
491544,164078
598486,259988
598493,260243
496473,172127
520759,200116
520115,199904
598519,260260
598521,260262
470918,144759
598520,260261
491545,164079
496487,172141
728264,
719697,
719700,
623817,
667849,
728820,
728815,
696071,
728306,
710941,
670047,
667819,
728478,
673462,
720595,
670999,
670057,
667907,
670052,
670970,
667908,
717264,
670039,
667832,
720261,
667910,
667909,
575356,
709166,
709149,
670990,
670070,
718832,
718724,
719032,
718725,
718728,
726409,
717851,
710221,
710222,
728232,
710220,
719147,
717735,
710181,
710225,
676374,
718499,
665653,
647620,
644169,
667843,
651681,
670985,
728312,
710226,
667877,
720823,
670067,
670983,
667894,
667839,
728181,
693435,
678429,
727348,
709854,
711753,
711693,
718058,
670984,
700577,
667887,
700654,
667842,
670064,
667886,
670988,
667891,
718030,
718032,
667880,
719308,
667888,
728314,
670973,
670065,
667892,
670982,
710558,
726536,
670054,
670997,
667900,
710215,
697324,
711436,
710576,
727055,
718053,
667874,
667873,
670989,
667870,
712194,
667838,
670063,
670975,
670066,
667893,
711694,
711863,
710217,
667897,
667898,
670073,
670972,
670974,
667836,
670060,
667830,
727213,
718742,
647621,
667989,
670174,
710450,
719071,
711969,
667881,
710613,
670976,
667840,
667841,
711865,
718848,
694534,
709041,
717530,
718680,
670969,
700950,
687546,
728823,
727154,
727534,
718619,
728270,
720608,
718133,
718213,
720775,
727461,
726977,
728155,
726970,
726372,
720136,
719242,
727598,
720492,
727049,
728157,
727005,
719672,
719674,
720478,
709337,
711299,
520761,200118
726617,3082586
556261,225284
556837,225285
575767,244392
632526,2301235
520931,200122
556893,225286
598463,259980
491543,164077
502261,179868
491542,164076
575766,244391
598458,259975
496515,172169
496537,172191
598495,260245
598488,260238
598456,259973
470916,144757
502257,179864
598461,259978
598468,259985
545403,212369
598459,259976
598457,259974
635589,3073939
496498,172152
496481,172135
496471,172125
720497,
710447,
626971,
710223,
627696,
679105,
644975,
667884,
665752,
727326,
667837,
667828,
710207,
667831,
697451,
667835,
667885,
667872,
675463,
675465,
728792,
727331,
719353,
676594,
670981,
728466,
709342,
673461,
726638,
670425,2992714
598460,259977
598462,259979
598464,259981
598465,259982
598467,259984
598469,259986
667003,2870377
496508,172162
709923,
578894,
668041,
667878,
670991,
667844,
667889,
667890,
673460,
711718,
726866,
598455,259972
598492,260242
598453,259970
719066,3081519
496488,172142
667899,
670996,
667820,
670048,
670993,
670053,
667911,
633181,2303783
673917,
670986,
670068,
667847,
666739,
720088,
712044,3080732
667002,2870376
687784,3078780
712068,3080737
712071,3080739
674667,
646258,
667829,
667848,
667871,
700407,
667827,
667826,
646609,2506146
667825,
712064,3080735
633353,2304559
712074,3080741
687785,3078781
687786,3078782
598454,259971
496469,172123
712043,3080731
720407,3082075
628330,
671534,
635159,
646662,
667437,2897539
712045,3080733
575768,244393
666795,2861354
562822,
719050,
671653,3042177
673819,3070598
575769,244394
665810,2798768
687787,3078783
648315,2577405
650055,2673629
647172,2525196
651207,2722664
652057,2760520
475139,149286
667821,
667904,
670058,
628376,
646256,
648982,
687494,3078735
649630,2639426
555833,224184
670049,
628958,
649804,
647034,2514303
670951,
719329,3081635
674481,3077036
631938,2298686
649313,
668667,2961625
712104,
712102,
712100,
712098,
712096,
720406,3082074
673955,3073759
673851,3070610
673693,3067453
670423,2992712
685942,
711669,
719192,3081614
649345,2623269
666272,
676771,
711253,
700239,
685966,
685912,
679730,3077699
674088,
619584,
710365,3080144
668729,2961634
670393,2992706
668035,2921828
686122,
608976,266615
608977,266616
608978,266617
608982,266621
608979,266618
608166,265744
673956,3073760
678568,3077660
634548,2307850
634569,2307871
633437,2304702
679793,
686066,3078563
651365,2731337
450285,120376
635632,2310797
673950,3073754
674815,3077177
577388,
684613,
631193,2296028
632737,2302129
645568,2460235
649368,2625187
648377,2580177
649271,2622344
579541,248198
632739,2302131
634566,2307868
634567,2307869
645562,2460229
649393,2625212
649270,2622343
631942,2298690
649379,2625198
635838,2312260
645563,2460230
649374,2625193
649373,2625192
649378,2625197
579540,248197
632735,2302127
674786,3077152
649367,2625186
649364,2625183
645569,2460236
645567,2460234
649381,2625200
649380,2625199
649416,2625235
685922,
686001,
685945,
645565,2460232
645564,2460231
649383,2625202
634568,2307870
579542,248199
637575,2318573
645560,2460227
627949,2283221
635836,2312258
649397,2625216
649405,2625224
645559,2460226
649400,2625219
648379,2580179
649398,2625217
645609,3073905
648391,2580191
649391,2625210
458748,128944
649425,2625244
633606,2304994
649375,2625194
555905,224256
649388,2625207
492620,165890
648030,2560813
555887,224238
555892,224244
555870,224221
555879,224230
555869,224220
635508,3073929
555827,224178
555820,224171
555823,224174
555816,224167
555812,224163
555815,224166
648006,2560789
649250,2622325
628982,2286260
648378,2580178
649253,2622328
649396,2625215
649412,2625231
648388,2580188
649392,2625211
649387,2625206
555843,224194
555841,224192
555837,224188
649377,2625196
413091,94171
413090,94170
648375,2580175
649928,2659376
555859,224211
555851,224203
555855,224206
667665,
685993,
685990,
680122,3077774
683375,3078122
648376,2580176
649362,2625181
555901,224252
648385,2580185
649358,2624689
651910,2754666
666574,2846383
647304,2533353
649366,2625185
629710,2289799
648386,2580186
463165,137270
648048,2561230
649343,2623267
649262,2622335
649408,2625227
649414,2625233
645546,2460213
557564,226047
557560,226044
557576,226059
557578,226061
629499,2289075
637564,2318566
645556,2460223
632742,2302234
412581,93696
404613,89143
649418,2625237
649129,
632705,
632379,
685925,
673630,3064291
712291,
720826,
629498,2289074
426577,105192
555829,224180
182205,9756
649257,2622332
673505,3054895
431828,107310
631190,2296025
688150,3078855
649419,2625238
728204,3083215
634558,2307860
644353,2407569
666452,
647137,2522464
648836,2599755
667604,2903618
710553,
648383,2580183
554298,220966
649426,2625245
511684,189452
626294,276682
673957,3073761
649421,2625240
631943,2298691
649264,2622337
555906,224257
648237,2571847
685980,
648650,
630164,2292550
676492,3077466
686132,
665675,
555909,224260
555819,224170
555811,224162
649359,2624695
648052,2561571
631186,2296021
631939,2298687
555838,224189
648031,2560814
649422,2625241
608981,266620
575353,
462367,
645763,2462929
651594,2740083
686028,
606904,263508
649410,2625229
555873,224223
649409,2625228
633004,2303081
628983,2286261
648381,2580181
718856,3081396
647431,2541048
649272,2622345
666809,
719138,3081580
631940,2298688
684907,3078461
630115,2292437
501211,177019
633599,2304886
687759,3078773
629359,2288253
555881,224232
631185,2296020
635826,2312248
673974,3073767
449721,119538
673459,
645578,2460245
647291,2533349
647590,2544314
711483,3080416
685088,3078501
704427,
647433,2541526
649369,2625188
555911,224262
631933,2298681
649406,2625225
649385,2625204
555891,224242
634538,2307739
649407,2625226
627947,2283219
631686,2297700
631189,2296024
720379,
685976,
234197,25755
555825,224176
627384,2280296
554293,220961
670825,3002028
632249,2299927
520011,
520030,
555852,224202
634559,2307861
699981,3079669
649365,2625184
634752,
627908,2283101
669286,2989342
467530,141297
555899,224250
608975,266614
646762,
673458,
688340,3078904
631188,2296023
608980,266619
630413,2293936
646226,2484494
634560,2307862
557565,226048
667111,2873412
630116,2292438
630117,2292439
645557,2460224
554296,220964
632722,2302125
700336,
695878,3079156
665888,2801733
666443,2840400
665788,2795815
673850,3070609
628981,2286243
720779,3082280
649403,2625222
685928,
673457,
720021,
649395,2625214
649394,2625213
670034,
585932,
633673,2305316
645561,2460228
645608,3073907
648044,2561060
627387,2280299
629940,
673453,
670042,
673454,
673456,
673455,
720491,
645545,2460212
633899,2305764
666684,2855344
628984,2286262
645566,2460233
648035,2560818
649266,2622339
648037,2560820
631944,2298692
632726,2302126
649390,2625209
649386,2625205
447258,115875
562815,235449
555895,224246
555903,224254
555888,224239
674914,3077190
696394,3079339
726702,3082643
672038,3051666
636899,2316695
555875,224226
649263,2622336
626290,276678
562826,235451
648019,2560802
413088,94168
649420,2625239
555834,224185
555845,224196
648007,2560790
648008,2560791
649255,2622330
413089,94169
649968,2662228
688676,3078980
684133,3078287
649371,2625190
555848,224199
555847,224198
555867,224218
555856,224207
711200,
688200,3078862
575538,
688151,3078856
668461,2949321
669033,2983119
650769,2699572
