transaction_id,goal_id,kristal_id,asset_id
496527,172181,2560.0,1263198
496523,172177,2560.0,1263198
632529,2301238,2988.0,1270394
755295,3086543,2205.0,1224590
587751,253721,2205.0,1224590
712046,3080734,2880.0,1269016
646230,2484498,3321.0,1275496
632558,2301366,2988.0,1270394
632553,2301361,2988.0,1270394
632566,2301375,2988.0,1270394
632530,2301239,2988.0,1270394
632570,2301380,2988.0,1270394
632533,2301242,2988.0,1270394
632548,2301257,2988.0,1270394
632535,2301244,2988.0,1270394
632538,2301247,2988.0,1270394
632565,2301374,2988.0,1270394
632560,2301368,2988.0,1270394
632545,2301254,2988.0,1270394
632532,2301241,2988.0,1270394
632531,2301240,2988.0,1270394
632527,2301236,2988.0,1270394
632552,2301360,2988.0,1270394
635496,3073963,2988.0,1270394
632546,2301255,2988.0,1270394
764490,3088070,2988.0,1270394
764868,3088224,2988.0,1270394
632549,2301258,2988.0,1270394
632541,2301250,2988.0,1270394
632554,2301362,2988.0,1270394
632563,2301371,2988.0,1270394
632572,2301382,2988.0,1270394
633071,2303314,2988.0,1270394
632562,2301370,2988.0,1270394
632542,2301251,2988.0,1270394
632543,2301252,2988.0,1270394
632536,2301245,2988.0,1270394
632564,2301373,2988.0,1270394
632556,2301363,2988.0,1270394
632555,2301364,2988.0,1270394
632547,2301256,2988.0,1270394
632539,2301248,2988.0,1270394
496529,172183,2560.0,1263198
496531,172185,2560.0,1263198
632544,2301253,2988.0,1270394
632568,2301378,2988.0,1270394
632534,2301243,2988.0,1270394
632528,2301237,2988.0,1270394
632557,2301365,2988.0,1270394
632573,2301383,2988.0,1270394
632561,2301369,2988.0,1270394
598498,260248,2205.0,1224590
470917,144758,2205.0,1224590
598504,260254,2205.0,1224590
598501,260251,2205.0,1224590
598494,260244,2205.0,1224590
598496,260246,2205.0,1224590
598497,260247,2205.0,1224590
667134,2876419,3321.0,1275496
502259,179866,2205.0,1224590
632550,2301358,2988.0,1270394
632551,2301359,2988.0,1270394
496520,172174,2560.0,1263198
673951,3073755,2880.0,1269016
673952,3073756,2880.0,1269016
598466,259983,2205.0,1224590
598518,260259,2205.0,1224590
631430,2296733,2988.0,1270394
223375,22362,2350.0,1247440
632540,2301249,2988.0,1270394
454219,125472,2880.0,1269016
496493,172147,2560.0,1263198
598490,260240,2205.0,1224590
598503,260253,2205.0,1224590
598502,260252,2205.0,1224590
496512,172166,2560.0,1263198
545401,212368,2353.0,1229622
673954,3073758,2880.0,1269016
440473,110903,2560.0,1263198
598499,260249,2205.0,1224590
598500,260250,2205.0,1224590
632571,2301381,2988.0,1270394
632569,2301377,2988.0,1270394
496461,172115,2560.0,1263198
670424,2992713,2205.0,1224590
673694,3067454,2205.0,1224590
673953,3073757,2880.0,1269016
598517,260258,2205.0,1224590
598489,260239,2205.0,1224590
545402,212367,2353.0,1229622
470919,144760,2205.0,1224590
598522,260263,2205.0,1224590
598448,259969,2205.0,1224590
598487,260237,2205.0,1224590
520929,200120,2205.0,1224590
598491,260241,2205.0,1224590
491544,164078,2205.0,1224590
598486,259988,2205.0,1224590
598493,260243,2205.0,1224590
496473,172127,2560.0,1263198
520759,200116,2205.0,1224590
520115,199904,2205.0,1224590
598519,260260,2205.0,1224590
598521,260262,2205.0,1224590
470918,144759,2205.0,1224590
598520,260261,2205.0,1224590
